title,company,location,date,url,department,workplace_type,description,requirements
Machine Learning לחברת סטארטאפ בעולם הרפואי,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/ai-engineer/118511/,AI & ML,onsite,לחברת סטארטאפ שמפתחת מערכת Analytics עבור תעשיית המדיקל דרוש/ה מהנדס/ת Machine Learning . הזדמנות מעולה להיות חלק מחברה שמשפרת את מערכת קבלת ההחלטות במגוון מוסדות רפואים. הפתרון מוטמע בבתי חולים ובקופות חולים ברחבי העולם. מדובר בפיתוח שמאפשר פרסונליזציה של הפתרון בהתאם למוסד הרפואי בו הוא מוטמע. מונים 130 אנשים ממוקמים באזור הבורסה ברמת גן.,-תואר שני במדעי המחשב -שנתיים ניסיון במחקר Machine Learning/ NLP -ניסיון בעבודה עם Java -Python/ R Deep Learning- יתרון
NLP לחברת סטארטאפ בעולם האנליטיקס,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/llm-engineer/nlp-לחברת-סטארטאפ-בעולם-האנליטיקס/,AI & ML,onsite,הי מהנדסות ומהנדסי NLP אנחנו חברת סטארטאפ שמפתחת מערכת חכמה שמניבה תובנות עסקיות. אנחנו עוזרים לחברות גדולות להגיע להחלטות עסקיות טובות יותר. אנחנו עובדים בסביבת Big Data אמיתית. התפקיד הוא כחלק מצוות המחקר שלנו וכלל מחקר פיתוח ומימוש באופן שווה ממוקמים בנתניה ומונים 200 עובדים.,-תואר שני ומעלה במדעי המחשב/סטטיסטיקה/ מתמטיקה -3 שנות ניסיון עם NLP -ניסיון של חמש שנים בפיתוח Java/Python
Machine Learning Lead,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/ai-engineer/117503/,AI & ML,onsite,"מעבדת חדשנות בעולם ה- Networking מגייסת! גב כלכלי איתן של חברה אמריקאית חזקה וחדשנות מטורפת בעולם ה-Networking סניפים ברחבי העולם. מונים 2000 גלובלית ממוקמים בתל אביב מגייסים עכשיו ר""צ Machine Learning",-תואר שני ומעלה במתמטיקה/ סטטיסטיקה -PHD -יתרון -Deep Learning -ניסיון ניהולי
Senior Algorithm Engineer לחברת סטארטאפ בעולם ה-agrotehc,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/ai-engineer/117336/,AI & ML,onsite,"Senior Algorithm Engineer לחברת סטארטאפ בעולם ה-agrotehc. אנחנו סטארטאפ בעולם החקלאות, הפלטפורמה שלנו מאפשרת לעשות אופטימיזציה לגידול צמחים. עובדים בעולם הבינה המלאכותית והרובוטיקה אנחנו 12 חברי צוות וגייסנו 10 מיליון דולר. אנחנו ממוקמים סמוך ליהוד.",-5 שנות ניסיון עם אלגוריתמים של Machine Learning / Computer Vision -תואר שני במתמטיקה/ מדעי המחשב/ פיזיקה -ניסיון עם עולם הביולוגיה- יתרון
Data Science NLP,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/llm-engineer/data-science-nlp/,AI & ML,onsite,"חברת סטארטטפ שמפתחת פלטפורמה בעולם המרקטפלייס מגייסת Data Science NLP לאחר גיוס של 110 מיליון דולר ואינספור יוזרים שמשתמשים במערכת שלנו - אנחנו מרחיבים את הצוות. עובדים בסקייל עצום, סביבת big data אמיתית. עבודה בעולמות ה-NLP נשמח לפגוש Data Science מנוסה שירצה להוביל אצלנו חדשנות בעולם ה-NLP",-3 שנות ניסיון כ- Data Science בחברת הייטק -NLP -Machine Learning -תואר שני - הכרחי
Machine Learning Expert לחברת סטארטאפ בעולם הפינטק,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/ai-engineer/117306/,AI & ML,onsite,"אנחנו חברת סטארטאפ חדשנית בעולם הפינטק. עובדים מול הבנקים הגלובלים הגדולים בעולם. מפתחים מאפס חדשנות. גייסנו 5 מיליון דולר מחברות מובילות שמאמינות בפתרון שלנו. אם את/ה רוצה להיות חלק מסטארטאפ ולהיות חלק מעבודה על מוצרים חדשים נשמח לפגוש אותך התפקיד כולל מחקר ופיתוח באופן שווה, עבודה עם מודלים של NLP ועיבוד תמונה מונים 15 אנשים ממוקמים בתל אביב",-שנתיים ניסיון עם אלגוריתמים של Machine Learning -NLP -Deep Learning -Python -תואר ראשון
Algorithm Engineer למעבדת חדשנות בעולם ה -big data,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/ai-engineer/116028/,AI & ML,onsite,"אנחנו סטארטאפ ממומן היטב שמפתח פלטפורמה מבוססת Deep Learning עבור הדור הבא של עולם ה-big data. אנחנו נותנים מענה עבור ארגונים מובילים בעולם הפינטק והמדיקל ומספקים להם פלטפורמה מבוססת בינה עמוקה יש לנו לקוחות משלמים ואנחנו ממומנים היטב (לא מזמן סגרנו סבב גיוס בגובה של 10 מיליון דולר) . אנחנו בצמיחה, נשמח לפגוש Algorithm Engineer שירצה להיות חלק מהעבודה שלנו",-3 שנות ניסיון במחקר פיתוח ומימוש אלגוריתמים -ניסיון עם Computer Vision ו- Deep Learning הכרחי -תואר שני ומעלה במדעי המחשב -Phd - יתרון משמעותי
חוקר/ת NLP לסטארטאפ בעולם ה- e-commerce,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/llm-engineer/חוקרת-nlp-לסטארטאפ-בעולם-ה-e-commerce/,AI & ML,onsite,חברת סטארטאפ בעולם ה- e-commerce מגייסת חוקר/ת NLP. מדובר בחברה שחלק ניכר מהצוות שלה עוסק במחקר ופיתוח אלגוריתמים עבור פלטפורמת ה e-commerce. הזדמנות להצטרף לצוות חדשנות שמפתח פתרונות בעולם הבינה המלאכותית בצמוד לביזנס של החברה,-תואר רלוונטי במדעי המחשב/ מתמטיקה/ סטטיסטיקה -ניסיון של שנתיים בעבודה עם אלגוריתמים של NLP
חוקר/ת לחברת סטארטאפ בהרצליה,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/ai-engineer/115259/,AI & ML,Remote,חברת סטארטאפ בעולם הפרסונליזציה מגייסת חוקר/ת בינה מלאכותית. אנחנו מפתחים טכנולוגיה שמסייעת ליצור חוויה טובה עבור צרכנים. מתמקדים בעיקר בניתוח שפה.  מעניקים תנאים מעולים כולל יום של עבודה מהבית תנאים מעולים!,-שנתיים ניסיון בעבודה על מודלים של Deep Learning -תואר שני במדעי המחשב / מתמטיקה -Speech Recognition יתרון
Algorithm Engineer לחברת סטארטאפ בחיפה,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/ai-engineer/108470/,AI & ML,onsite,"חברת סטארטאפ בחיפה (קו רכבת) מגייסת מהנדס/ת אלגוריתמים. הזדמנות לעבוד על מוצר בתחום תעשיית הרכב האוטונומית. מדובר במוצר פורץ דרך, מבוסס אלגוריתמיקה ועתיד להיות Game changer בעולם הרכב האוטונומי. הזדמנות להיות חלק מצוות חדשנות בחברה מובילה",-תואר במדעי המחשב -ניסיון בפיתוח ומחקר אלגוריתמים Machine Learning -רקע חזק בעיבוד אותות
Tech Lead NLP,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/llm-engineer/tech-lead-nlp/,AI & ML,onsite,חברת הייטק יציבה ומבוססת שכבר חדשה דבר אחד או שניים בעולם האנליטיקס מגייסת אלגוריתמאי NLP. הזדמנות מעולה להיות חלק מחברה מובילה. לעבוד על מודלים מורכבים עם טכנולוגיות מתקדמות. מדובר בחברה עם לקוחות משלמים ושיתופי פעולה אסטרטגים עם חברות מובילות.,-5 שנות ניסיון בסביבת NLP -תפקיד כולל מחקר ופיתוח באופן שווה
דרוש/ה אלגוריתמאי/ת בתחום ה NLP,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/llm-engineer/דרושה-אלגוריתמאית-בתחום-ה-nlp/,AI & ML,onsite,לחברת SU מצליחה דרוש/ה אלגוריתמאי/ת בתחום ה-NLP החברה הוקמה על ידי שלושה יוצאי גוגל ומושקעים בה חברות ענק בתחום ה-e- commerce. הפיתוח מתמקד ביצירת פלטפורמה שתשנה את כללי המשחק של שוק הקניות המקוון. הזדמנות להיות חלק מחברה מצליחה ולהשתלב בתפקיד מאתגר הכולל עבודה בסביבה צעירה ודינמית תוך שימוש בטכנולוגיות מתקדמות.,תואר שני רלוונטי - הכרחי דוקטורט בתחום האלגוריתמים - יתרון ניסיון במימוש אלגוריתמים ב - Python וב-Java - הכרחי ניסיון ב-NLP - יתרון משמעותי
Security Incident Response Group Lead בחברה בתחום התקשורת ואבטחת המידע,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/datasecurity/security-research-team-leader/153804/,Cyber & Security,Hybrid,"החברה מובילה בפיתוח פתרונות מהירות התגובה והאבטחה של יישומים אירגוניים ורשתות. החברה ממוקמת בתל אביב- קו רכבת, משלבת מודל עבודה היברידי ומונה אלפי עובדים. מהות התפקיד: הובלה ניהולית וטכנית של פעילות Global Incident Response עבור שירותי Cloud Security של החברה, כולל ניהול ישיר של 2 ראשי צוותים בארץ. התפקיד משלב כ-10-20% Hands-On בעולמות DDoS, WAF ו-Application Security, לצד הובלת תהליכי Detection & Mitigation לאיומי Network ו-Application. כולל ניהול אירועי סייבר בזמן אמת, עבודה מול לקוחות בינלאומיים ועמידה ב-SLA, פיתוח IR Playbooks ותהליכי Security Operations. דיווח ל-Director of Cloud Delivery.",- 8 שנות ניסיון בתחום ה-IR/Red Team/Analyst אבטחת מידע וכולי - 4 שנות ניסיון בניהול צוותי אבטחת מידע - ניסיון ב-Networking/פרוטוקולי תקשורת - ניסיון וידע באחד מהבאים DDoS/DoS/API Security/OWASP/Web Application Firewall (WAF)
