title,company,location,date,url,department,workplace_type,level,source
רכז/ת אדמיניסטרטיבי/ת - בפקולטה לרפואה,HUJI Alumni Career,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%90%d7%93%d7%9e%d7%99%d7%a0%d7%99%d7%a1%d7%98%d7%a8%d7%98%d7%99%d7%91%d7%99-%d7%aa-%d7%91%d7%a4%d7%a7%d7%95%d7%9c%d7%98%d7%94-%d7%9c%d7%a8%d7%a4%d7%95%d7%90%d7%94/,,onsite,junior,huji-alumni
סוקר/ת ומבדקי איכות ובטיחות מזון,HUJI Alumni Career,,2026-05-04,https://hujicareer.co.il/jobs/%d7%a1%d7%95%d7%a7%d7%a8-%d7%aa-%d7%95%d7%9e%d7%91%d7%93%d7%a7%d7%99-%d7%90%d7%99%d7%9b%d7%95%d7%aa-%d7%95%d7%91%d7%98%d7%99%d7%97%d7%95%d7%aa-%d7%9e%d7%96%d7%95%d7%9f/,,onsite,junior,huji-alumni
סטודנט/ית למחלקת הגרפיקה בחטיבת החדשות,LOGO 10,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%9e%d7%97%d7%9c%d7%a7%d7%aa-%d7%94%d7%92%d7%a8%d7%a4%d7%99%d7%a7%d7%94-%d7%91%d7%97%d7%98%d7%99%d7%91%d7%aa-%d7%94%d7%97%d7%93%d7%a9%d7%95-3/,,onsite,junior,huji-alumni
מפיק/ת תוכניות ו/או מהדורות בחטיבת החדשות,LOGO 10,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%9e%d7%a4%d7%99%d7%a7-%d7%aa-%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%95%d7%aa-%d7%95-%d7%90%d7%95-%d7%9e%d7%94%d7%93%d7%95%d7%a8%d7%95%d7%aa-%d7%91%d7%97%d7%98%d7%99%d7%91%d7%aa-%d7%94%d7%97%d7%93%d7%a9/,,onsite,junior,huji-alumni
תחקירן/ית ומפיק/ה לכאן רשת ב' לחטיבת החדשות,LOGO 10,,2026-05-04,https://hujicareer.co.il/jobs/%d7%aa%d7%97%d7%a7%d7%99%d7%a8%d7%9f-%d7%99%d7%aa-%d7%95%d7%9e%d7%a4%d7%99%d7%a7-%d7%94-%d7%9c%d7%9b%d7%90%d7%9f-%d7%a8%d7%a9%d7%aa-%d7%91-%d7%9c%d7%97%d7%98%d7%99%d7%91%d7%aa-%d7%94%d7%97%d7%93/,,onsite,junior,huji-alumni
סטודנט/ית ללשכה המשפטית בתאגיד השידור הישראלי,LOGO 10,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%9c%d7%a9%d7%9b%d7%94-%d7%94%d7%9e%d7%a9%d7%a4%d7%98%d7%99%d7%aa-%d7%91%d7%aa%d7%90%d7%92%d7%99%d7%93-%d7%94%d7%a9%d7%99%d7%93%d7%95%d7%a8/,,onsite,junior,huji-alumni
דרוש/ה מנהל/ת מרפאה רב מקצועית למרכז ירושלמי לבריאות הנפש,Israeli_Civil_Service_Commission.svg,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%9e%d7%a8%d7%a4%d7%90%d7%94-%d7%a8%d7%91-%d7%9e%d7%a7%d7%a6%d7%95%d7%a2%d7%99%d7%aa-%d7%9c%d7%9e%d7%a8%d7%9b%d7%96-%d7%99%d7%a8%d7%95/,,onsite,junior,huji-alumni
ללשכת הבריאות ירושלים דרוש/ה מפקח/ת מזון,Israeli_Civil_Service_Commission.svg,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%9c%d7%9c%d7%a9%d7%9b%d7%aa-%d7%94%d7%91%d7%a8%d7%99%d7%90%d7%95%d7%aa-%d7%99%d7%a8%d7%95%d7%a9%d7%9c%d7%99%d7%9d-%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%9e%d7%a4%d7%a7%d7%97-%d7%aa-%d7%9e%d7%96%d7%95/,,onsite,junior,huji-alumni
משרות סטודנט/ית - חטיבת הסייבר משטרת ישראל,חטיבת הסייבר,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/7628/,,onsite,junior,huji-alumni
משרת סטודנט.ית לבנק מוביל בירושלים,description-logo,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%9e%d7%a9%d7%a8%d7%aa-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%91%d7%a0%d7%a7-%d7%9e%d7%95%d7%91%d7%99%d7%9c-%d7%91%d7%99%d7%a8%d7%95%d7%a9%d7%9c%d7%99%d7%9d/,,onsite,junior,huji-alumni
רכז.ת חונכויות ליחידה לשוויון הזדמנויות בקמפוס עין כרם,HUJI Alumni Career,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%97%d7%95%d7%a0%d7%9b%d7%95%d7%99%d7%95%d7%aa-%d7%9c%d7%99%d7%97%d7%99%d7%93%d7%94-%d7%9c%d7%a9%d7%95%d7%95%d7%99%d7%95%d7%9f-%d7%94%d7%96%d7%93%d7%9e%d7%a0%d7%95%d7%99/,,onsite,junior,huji-alumni
"עובדים סוציאליים, מרפאים בעיסוק ויועצי תעסוקה",c3,,2026-05-04,https://hujicareer.co.il/jobs/%d7%a2%d7%95%d7%91%d7%93%d7%99%d7%9d-%d7%a1%d7%95%d7%a6%d7%99%d7%90%d7%9c%d7%99%d7%99%d7%9d-%d7%9e%d7%a8%d7%a4%d7%90%d7%99%d7%9d-%d7%91%d7%a2%d7%99%d7%a1%d7%95%d7%a7-%d7%95%d7%99%d7%95%d7%a2%d7%a6/,,onsite,junior,huji-alumni
רכז/ת נושא מינהל רפואי ופרויקטים למרכז רפואי שמיר,111111,,2026-05-04,https://hujicareer.co.il/jobs/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%a0%d7%95%d7%a9%d7%90-%d7%9e%d7%99%d7%a0%d7%94%d7%9c-%d7%a8%d7%a4%d7%95%d7%90%d7%99-%d7%95%d7%a4%d7%a8%d7%95%d7%99%d7%a7%d7%98%d7%99%d7%9d-%d7%9c%d7%9e%d7%a8%d7%9b%d7%96/,,onsite,junior,huji-alumni
"למשרד התקשורת, לאגף בכיר שידורים, דרוש/ה סטודנט/ית",MinistryOfCom,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%9c%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%aa%d7%a7%d7%a9%d7%95%d7%a8%d7%aa-%d7%9c%d7%90%d7%92%d7%a3-%d7%91%d7%9b%d7%99%d7%a8-%d7%a9%d7%99%d7%93%d7%95%d7%a8%d7%99%d7%9d-%d7%93%d7%a8%d7%95%d7%a9-%d7%94/,,onsite,junior,huji-alumni
עורך/ת תסקירי סביבה .M. Sc,c3,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%a2%d7%95%d7%a8%d7%9a-%d7%aa-%d7%aa%d7%a1%d7%a7%d7%99%d7%a8%d7%99-%d7%a1%d7%91%d7%99%d7%91%d7%94-m-sc/,,onsite,junior,huji-alumni
מומחה/ית מערכות הזדהות - האגף למחשוב,HUJI Alumni Career,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%9e%d7%95%d7%9e%d7%97%d7%94-%d7%99%d7%aa-%d7%9e%d7%a2%d7%a8%d7%9b%d7%95%d7%aa-%d7%94%d7%96%d7%93%d7%94%d7%95%d7%aa-%d7%94%d7%90%d7%92%d7%a3-%d7%9c%d7%9e%d7%97%d7%a9%d7%95%d7%91/,,onsite,junior,huji-alumni
טכנופדגוג - היחידה להוראה ולמידה,HUJI Alumni Career,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%98%d7%9b%d7%a0%d7%95%d7%a4%d7%93%d7%92%d7%95%d7%92-%d7%94%d7%99%d7%97%d7%99%d7%93%d7%94-%d7%9c%d7%94%d7%95%d7%a8%d7%90%d7%94-%d7%95%d7%9c%d7%9e%d7%99%d7%93%d7%94/,,onsite,junior,huji-alumni
רכז.ת לסטודנטים מהחברה האתיופית,לוגו-המרכז-הרב-תחומי-02,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%9c%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98%d7%99%d7%9d-%d7%9e%d7%94%d7%97%d7%91%d7%a8%d7%94-%d7%94%d7%90%d7%aa%d7%99%d7%95%d7%a4%d7%99%d7%aa/,,onsite,junior,huji-alumni
כותב/ת תוכן בבית הספר למנהל עסקים,HUJI Alumni Career,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%9b%d7%95%d7%aa%d7%91-%d7%aa-%d7%aa%d7%95%d7%9b%d7%9f-%d7%91%d7%91%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%9c%d7%9e%d7%a0%d7%94%d7%9c-%d7%a2%d7%a1%d7%a7%d7%99%d7%9d/,,onsite,junior,huji-alumni
