url,title,company,source,department,first_seen,last_seen
https://www.gotfriends.co.il/jobslobby/software/head-of-front-end-team/153490/,Frontend Infrastructure Team Leader בחברת הייטק,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153450/,Backend Engineering Team Lead בחברת סטארט-אפ בתחום ה-Fintech,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/frontend-developer/153447/,Senior Frontend Infrastructure Engineer בחברת סטארט-אפ רווחית,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/backend-developer/153428/,Senior Software Engineer בחברת סטארט-אפ,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/full-stack-developer/153403/,Full Stack Software Engineer בחברה ישראלית,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/python-developer/153413/,Software Engineer בחברת סטארט-אפ בתחום ה-Medical,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/153425/,Lead Software Engineer בחברת סטארט-אפ בתחום המיחשוב הקוונטי,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/backend-developer/153424/,Software Engineering Lead (Sensor) בחברת סייבר רווחית,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153429/,Backend Team Lead בחברה העוסקת בחווית משתמש,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/backend-developer/153429/,Backend Team Lead בחברה העוסקת בחווית משתמש,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/backend-developer/153405/,Senior Software Engineer בחברת הייטק בתחום ה-DevSecOps ו-MLOps,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/go-developer/153377/,Tech Lead בחברת סטארט-אפ ישראלית,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/backend-developer/153401/,Senior Core Backend Infra Engineer בחברת סטארט-אפ בתחום ה- Data Security,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
