title,company,location,date,url,department,workplace_type
מנהל.ת פרויקטים בתאגיד הבריאות,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-04-30,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197808,כללי,
מזכיר.ה במערך הרדמה,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-04-30,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197223,אדמינסטרציה,
טכנאי.ת שטח - משרה זמנית,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-04-29,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197779,"תשתית, מערכות מידע ואבטחת מידע- IT",
מזכיר.ה לאגף טכנולוגיות מידע ודיגיטל,המרכז הרפואי תל-אביב (איכילוב),"המרכז הרפואי ת""א (איכילוב)",2026-04-29,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197778,אדמינסטרציה,
נציג.ת שירות ביחידת הגביה,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-04-26,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197728,אדמינסטרציה,
מבקר.ת פנים,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-04-26,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197726,"רו""ח",
מתאם.ת / אח.ות מחקר ביחידה להפרעת תנועה,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-04-25,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197718,"מדעים ומו""פ כללי",
עוזר מחקר למחלקת אורולגיה (משרה חלקית),המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-04-25,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197717,"מדעים ומו""פ כללי",
רופא.ה מסייע.ת באשפוז יום וביצוע מוחות עצם,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-04-25,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197716,רפואה ובריאות,
מתאם.ת ניתוחים לחטיבה הכירורגית,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-04-23,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197708,אדמינסטרציה,
"מתאם.ת מחקר למערך עיניים (החלפה לחל""ד)",המרכז הרפואי תל-אביב (איכילוב),"המרכז הרפואי ת""א (איכילוב)",2026-04-23,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197700,"מדעים ומו""פ כללי",
מתאמ.ת מחקר למחלקת כירורגית כלי דם - 50% משרה,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-04-18,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197673,"מדעים ומו""פ כללי",
עובד.ת מעבדה לבנק הדם,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-04-16,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197652,"מדעים ומו""פ כללי",
עובד.ת מעבדה למעבדה מיקרוביולוגית,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-04-15,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197650,רפואה ובריאות,
"רכז.ת רכש לאגף המעבדות - החלפה לחל""ד",המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-04-13,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197592,"לוגיסטיקה, תפעול, רכש ומחסנים",
מנהל.ת משאבי אנוש- תחום מנהל ומשק,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-04-09,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197553,משאבי אנוש,
מפתח.ת אינטגרציה לצוות טכנולוגיות ודיגיטל,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-04-05,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=196460,"תשתית, מערכות מידע ואבטחת מידע- IT",
ראש צוות טכנאי שטח לאגף מחשוב ומערכות מידע,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-03-31,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197534,"תשתית, מערכות מידע ואבטחת מידע- IT",
רוקח.ת אחראי.ת יחידת קונסיגנציה,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-03-31,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197533,ביוטכנולוגיה ורוקחות,
טכנאי.ת ראשי.ת במכון לרפואה גרעינית,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-03-31,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197522,רפואה ובריאות,
מתאמ.ת מחקר ולוקח.ת דמים למיזם פסיפס,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-03-31,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197521,"מדעים ומו""פ כללי",
מהנדס.ת בקרת תצורה,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-03-31,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197512,הנדסה,
רכז.ת גיוס לאגף משאבי אנוש,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-03-26,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197486,משאבי אנוש,
סגן.ית מנהלת כספים לתאגיד הבריאות,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-03-26,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=196355,"רו""ח",
רכז.ת רשומות רפואיות,המרכז הרפואי תל-אביב (איכילוב),תל אביב יפו,2026-03-18,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197367,תפעול ובק אופיס,
חשב.ת שכר,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-03-15,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197343,"כלכלה, כספים, השקעות ושוק ההון",
מנהל.ת תפעול קליני,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-03-12,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197336,רפואה ובריאות,
מתאמ.ת מחקר ביחידה לשעת חירום,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-03-12,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197335,"מדעים ומו""פ כללי",
מפתח.ת דאטה ו BI,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-03-10,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197311,"תשתית, מערכות מידע ואבטחת מידע- IT",
מהנדס.ת DevOps מנוסה עם התמחות ב-DataOps,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2026-03-08,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197153,הנדסה,
רפרנט.ית מערכות מידע (דימות) לאגף טכנולוגיות,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-02-26,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197240,"תשתית, מערכות מידע ואבטחת מידע- IT",
