title,company,location,date,url,department,workplace_type,level,source
עובד/ת מעבדה - מכון רקח לפיסיקה,HUJI Career,ירושלים,2026-04-19,https://hujicareer.co.il/jobs/%d7%a2%d7%95%d7%91%d7%93-%d7%aa-%d7%9e%d7%a2%d7%91%d7%93%d7%94-%d7%9e%d7%9b%d7%95%d7%9f-%d7%a8%d7%a7%d7%97-%d7%9c%d7%a4%d7%99%d7%a1%d7%99%d7%a7%d7%94/,,onsite,junior,huji
עוזר/ת לענייני הוראה בפקולטה למשפטים - המכון לקרימינולוגיה,HUJI Career,ירושלים,2026-04-19,https://hujicareer.co.il/jobs/%d7%a2%d7%95%d7%96%d7%a8-%d7%aa-%d7%9c%d7%a2%d7%a0%d7%99%d7%99%d7%a0%d7%99-%d7%94%d7%95%d7%a8%d7%90%d7%94-%d7%91%d7%a4%d7%a7%d7%95%d7%9c%d7%98%d7%94-%d7%9c%d7%9e%d7%a9%d7%a4%d7%98%d7%99%d7%9d-%d7%94/,,onsite,junior,huji
דרוש/ה סטודנט/ית לאגף הדוברות במשרד לביטחון לאומי,המשרד_לביטחון_לאומי,ירושלים,2026-04-19,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%90%d7%92%d7%a3-%d7%94%d7%93%d7%95%d7%91%d7%a8%d7%95%d7%aa-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%9c%d7%91%d7%99/,,onsite,junior,huji
עוזר/ת בכיר/ה לפיתוח אקדמי - המינהל האקדמי,HUJI Career,ירושלים,2026-04-19,https://hujicareer.co.il/jobs/%d7%a2%d7%95%d7%96%d7%a8-%d7%aa-%d7%91%d7%9b%d7%99%d7%a8-%d7%94-%d7%9c%d7%a4%d7%99%d7%aa%d7%95%d7%97-%d7%90%d7%a7%d7%93%d7%9e%d7%99-%d7%94%d7%9e%d7%99%d7%a0%d7%94%d7%9c-%d7%94%d7%90%d7%a7%d7%93/,,onsite,junior,huji
"משרות סטודנט גמישות במשרד עו""ד",c3,תל אביב,2026-04-19,https://hujicareer.co.il/jobs/%d7%9e%d7%a9%d7%a8%d7%95%d7%aa-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%92%d7%9e%d7%99%d7%a9%d7%95%d7%aa-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%a2%d7%95%d7%93/,,onsite,junior,huji
ספרן/ית - ספריית משפטים באוניברסיטה העברית,HUJI Career,ירושלים,2026-04-19,https://hujicareer.co.il/jobs/%d7%a1%d7%a4%d7%a8%d7%9f-%d7%99%d7%aa-%d7%a1%d7%a4%d7%a8%d7%99%d7%99%d7%aa-%d7%9e%d7%a9%d7%a4%d7%98%d7%99%d7%9d-%d7%91%d7%90%d7%95%d7%a0%d7%99%d7%91%d7%a8%d7%a1%d7%99%d7%98%d7%94-%d7%94%d7%a2%d7%91/,,onsite,junior,huji
"דרוש/ה רפרנט/ית פיקוח, נתונים ומידע ברשות ניירות ערך",Logo_israel_securities_authority,תל אביב,2026-04-19,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a8%d7%a4%d7%a8%d7%a0%d7%98-%d7%99%d7%aa-%d7%a4%d7%99%d7%a7%d7%95%d7%97-%d7%a0%d7%aa%d7%95%d7%a0%d7%99%d7%9d-%d7%95%d7%9e%d7%99%d7%93%d7%a2-%d7%91%d7%a8%d7%a9%d7%95/,,onsite,junior,huji
לארכיון הציוני המרכזי דרוש.ה ארכיונאי.ת למדור תצלומים,__לוגו-מעודכן-2022-ארכיון,ירושלים,2026-04-19,https://hujicareer.co.il/jobs/%d7%9c%d7%90%d7%a8%d7%9b%d7%99%d7%95%d7%9f-%d7%94%d7%a6%d7%99%d7%95%d7%a0%d7%99-%d7%94%d7%9e%d7%a8%d7%9b%d7%96%d7%99-%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%90%d7%a8%d7%9b%d7%99%d7%95%d7%a0%d7%90%d7%99/,,onsite,junior,huji
דרוש/ה סטודנט/ת לתחום המשפטים לאגף הביטחון במשרד הביטחון,לוגו משרד הביטחון,,2026-04-19,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%aa-%d7%9c%d7%aa%d7%97%d7%95%d7%9d-%d7%94%d7%9e%d7%a9%d7%a4%d7%98%d7%99%d7%9d-%d7%9c%d7%90%d7%92%d7%a3-%d7%94%d7%91%d7%99%d7%98/,,onsite,junior,huji
"דרוש/ה יושב/ת ראש ועדת ערר במחוזות חיפה, תל אביב והצפון",משרד הפנים לוגו,תל אביב,2026-04-19,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%99%d7%95%d7%a9%d7%91-%d7%aa-%d7%a8%d7%90%d7%a9-%d7%95%d7%a2%d7%93%d7%aa-%d7%a2%d7%a8%d7%a8-%d7%91%d7%9e%d7%97%d7%95%d7%96%d7%95%d7%aa-%d7%97%d7%99%d7%a4%d7%94/,,onsite,junior,huji
משרות זמניות באגף שיקום במשרד הביטחון,לוגו משרד הביטחון,רחובות,2026-04-19,https://hujicareer.co.il/jobs/%d7%9e%d7%a9%d7%a8%d7%95%d7%aa-%d7%96%d7%9e%d7%a0%d7%99%d7%95%d7%aa-%d7%91%d7%90%d7%92%d7%a3-%d7%a9%d7%99%d7%a7%d7%95%d7%9d-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%91%d7%99%d7%98%d7%97%d7%95%d7%9f/,,onsite,junior,huji
דרושים מדריכים לתוכניות נוער שוחר מדע!,HUJI Career,ירושלים,2026-04-19,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9%d7%99%d7%9d-%d7%9e%d7%93%d7%a8%d7%99%d7%9b%d7%99%d7%9d-%d7%9c%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%95%d7%aa-%d7%a0%d7%95%d7%a2%d7%a8-%d7%a9%d7%95%d7%97%d7%a8-%d7%9e%d7%93%d7%a2/,,onsite,junior,huji
מנתח/ת מערכות – יחידת מע' ניירות ערך ותשתיות BO,tasa,תל אביב,2026-04-19,https://hujicareer.co.il/jobs/%d7%9e%d7%a0%d7%aa%d7%97-%d7%aa-%d7%9e%d7%a2%d7%a8%d7%9b%d7%95%d7%aa-%d7%99%d7%97%d7%99%d7%93%d7%aa-%d7%9e%d7%a2-%d7%a0%d7%99%d7%99%d7%a8%d7%95%d7%aa-%d7%a2%d7%a8%d7%9a-%d7%95%d7%aa%d7%a9/,,onsite,junior,huji
מעצב/ת מושן למשרה זמנית לחטיבת הדיגיטל - כאן 11,LOGO 10,,2026-04-19,https://hujicareer.co.il/jobs/%d7%9e%d7%a2%d7%a6%d7%91-%d7%aa-%d7%9e%d7%95%d7%a9%d7%9f-%d7%9c%d7%9e%d7%a9%d7%a8%d7%94-%d7%96%d7%9e%d7%a0%d7%99%d7%aa-%d7%9c%d7%97%d7%98%d7%99%d7%91%d7%aa-%d7%94%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c-2/,,onsite,junior,huji
לחברה מובילה בתחומה מענף הנדל״ן דרוש/ה מנהל/ת פיתוח עסקי,c3,תל אביב,2026-04-19,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%a4%d7%99%d7%aa%d7%95%d7%97-%d7%a2%d7%a1%d7%a7%d7%99-%d7%9c%d7%9e%d7%a9%d7%a8%d7%93-%d7%9e%d7%95%d7%91%d7%99%d7%9c-%d7%9e%d7%aa%d7%97%d7%95/,,onsite,junior,huji
משרות פנויות במרכז האקדמי הרב תחומי ירושלים,לוגו-המרכז-הרב-תחומי-02,ירושלים,2026-04-19,https://hujicareer.co.il/jobs/%d7%9e%d7%a9%d7%a8%d7%95%d7%aa-%d7%a4%d7%a0%d7%95%d7%99%d7%95%d7%aa-%d7%91%d7%9e%d7%a8%d7%9b%d7%96-%d7%94%d7%90%d7%a7%d7%93%d7%9e%d7%99-%d7%94%d7%a8%d7%91-%d7%aa%d7%97%d7%95%d7%9e%d7%99-%d7%99%d7%a8/,,onsite,junior,huji
דרושים סטודנטים למחלקת שיווק במרכז האקדמי הרב תחומי,לוגו-המרכז-הרב-תחומי-02,ירושלים,2026-04-19,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9%d7%99%d7%9d-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98%d7%99%d7%9d-%d7%9c%d7%9e%d7%97%d7%9c%d7%a7%d7%aa-%d7%a9%d7%99%d7%95%d7%95%d7%a7-%d7%91%d7%9e%d7%a8%d7%9b%d7%96-%d7%94%d7%90/,,onsite,junior,huji
דרוש/ה סטודנט/ית לחטיבת משאבי אנוש - כאן 11,LOGO 10,ירושלים,2026-04-19,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%97%d7%98%d7%99%d7%91%d7%aa-%d7%9e%d7%a9%d7%90%d7%91%d7%99-%d7%90%d7%a0%d7%95%d7%a9-%d7%9b%d7%90%d7%9f-11/,,onsite,junior,huji
